rank,company_name,website
313,Fidelity National Financial,https://www.fnf.com/
314,Carvana,https://www.carvana.com/
315,DXC Technology,https://quartr.com/products/quartr-api
316,W.R. Berkley,https://www.berkley.com/
317,M&T Bank,https://www.mtb.com/
318,Dick's Sporting Goods,https://www.dickssportinggoods.com/
319,Xcel Energy,https://www.xcelenergy.com/
320,Fifth Third Bancorp,https://quartr.com/products/quartr-api
321,Blackstone,https://www.blackstone.com/
322,Sempra,https://www.sempra.com/
323,Erie Insurance Group,https://www.erieinsurance.com/
324,Corning,https://www.corning.com/
325,Lumen Technologies,https://www.lumen.com/
326,FirstEnergy,https://www.firstenergycorp.com/
327,Hess,https://www.hess.com/
328,Labcorp Holdings,https://www.labcorp.com/
329,Western Digital,https://www.westerndigital.com/
330,Unum Group,https://www.unum.com/
331,DaVita,https://www.davita.com/
332,Kellanova,https://www.kellanova.com/
333,Henry Schein,https://www.henryschein.com/
334,Ryder System,https://www.ryder.com/
335,Community Health Systems,https://www.chs.net/
336,Delek US Holdings,https://www.delekus.com/
337,DTE Energy,https://www.dteenergy.com/
338,Equitable Holdings,https://www.equitableholdings.com/
339,DuPont,https://www.dupont.com/
340,LPL Financial Holdings,https://www.lpl.com/
341,Citizens Financial Group,https://www.citizensbank.com/
342,MasTec,https://www.mastec.com/
343,AES,https://www.aes.com/
344,Berry Global Group,https://www.berryglobal.com/
345,Westlake,https://www.westlake.com/
346,Norfolk Southern,https://www.norfolksouthern.com/
347,Air Products & Chemicals,https://www.airproducts.com/
348,J.B. Hunt Transport Services,https://www.jbhunt.com/
349,Ball,https://www.ball.com/
350,Conagra Brands,https://www.conagrabrands.com/
351,Huntington Bancshares,https://www.huntington.com/
352,Hormel Foods,https://www.hormelfoods.com/
353,Eversource Energy,https://www.eversource.com/
354,Alcoa,https://www.alcoa.com/
355,Entergy,https://www.entergy.com/
356,Assurant,https://www.assurant.com/
357,Chewy,https://www.chewy.com/
358,Wayfair,https://www.wayfair.com/
359,Crown Holdings,https://www.crowncork.com/
360,Avis Budget Group,https://www.avisbudgetgroup.com/
361,Intercontinental Exchange,https://www.ice.com/
362,Alaska Air Group,https://www.alaskaair.com/
363,GXO Logistics,https://www.gxo.com/
364,AGCO,https://www.agcocorp.com/
365,Graybar Electric,https://www.graybar.com/
366,Molson Coors Beverage,https://www.molsoncoors.com/
367,Arthur J. Gallagher,https://www.ajg.com/
368,Huntington Ingalls Industries,https://www.hii.com/
369,International Flavors & Fragrances,https://www.iff.com/
370,Darden Restaurants,https://www.darden.com/
371,Cincinnati Financial,https://www.cinfin.com/
372,Chipotle Mexican Grill,https://www.chipotle.com/
373,Yum China Holdings,https://quartr.com/products/quartr-api
374,Las Vegas Sands,https://www.sands.com/
375,Ulta Beauty,https://www.ulta.com/
376,Caesars Entertainment,https://www.caesars.com/
377,BrightSpring Health Services,https://www.brightspringhealth.com/
378,Andersons,https://www.andersonsinc.com/
379,Hershey,https://www.thehersheycompany.com/
380,Hilton Worldwide Holdings,https://www.hilton.com/
381,Mosaic,https://www.mosaicco.com/
382,Airbnb,https://www.airbnb.com/
